"Network","Decomposition","Delta_t","Delta_x","Time_Limit","Space_discr","CS_model","Objective_model","MINLP","NLP","MIQCP","CQP","Time","Objective","piter","aiter","error_p","error_q","relaxation_p","relaxation_q"
"GasLib-11",",","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","54,93263053894043","0,48312394662075414","1","1","0","0","0.1","0.1"
"GasLib-11",",,","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","59,794543504714966","0,6742313658643974","1","1","0","0","0","0"
"GasLib-11","","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","45,77748918533325","1,0173811623497506","6","28","0.09695463963564964","0.0858671274453846","0.1","0.1"
"GasLib-11","N01.V01_N01_N03,N03.V01_N01_N03","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","8,418414831161499","0,47833275265880176","1","4","0.0790455486694856","0.05382101463145512","0.1","0.1"
"GasLib-11","N01.entry03","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","571,2356171607971","0,5913018192771519","3","14","0.09371529412493859","0.06290395089993948","0.1","0.1"
"GasLib-11","N04.N05","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","944,7708752155304","0,6217484706624449","4","16","0.08152044803692453","0.06133648713050775","0.1","0.1"
"GasLib-11","N01.entry03,N04.N05","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","464,26739716529846","0,741833428059634","4","17","0.0967466064904587","0.05359202915848526","0.1","0.1"
"GasLib-11","N01.N02,N04.N03","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","343,93288135528564","0,6379695578055607","4","17","0.0970639508239925","0.07133463804762884","0.1","0.1"
"GasLib-11","N01.N03,N04.N02","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","127,67650604248047","0,45953564663191554","3","13","0.085314840313663","0.0802909416252889","0.1","0.1"
"GasLib-11","N02.N01,N03.N04","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","333,5715320110321","0,5629323427702212","4","17","0.06911362758100922","0.06171570915277469","0.1","0.1"
"GasLib-11","N02.N04,N03.N01","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","64,97895240783691","0,49287274960859456","3","11","0.07972896761115739","0.04719560263925079","0.1","0.1"
"GasLib-11",",","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","289,2638804912567","0,808779747941121","1","1","0","0","0.1","0.1"
"GasLib-11",",,","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","259,41354417800903","1,0439600167138459","1","1","0","0","0","0"
